Data;Descrição;Valor;Tipo;Categoria;Setor;Centro de Custo;ID Transação;Conciliado com;Memo
2025-07-16;;-20.96;Despesa;Transferência;Administrativo;Financeiro;202507160771;;"Pix enviado: ""Cp :21018182-UBER DO BRASIL TECNOLOGIA LTDA"""
2025-07-16;;-15.0;Despesa;Transferência;Administrativo;Financeiro;202507160772;;"Pix enviado: ""Cp :54403563-M4 PRODUTOS E SERVICOS LTDA"""
2025-07-16;;-52.0;Despesa;Transferência;Administrativo;Financeiro;202507160773;;"Pix enviado: ""Cp :60746948-Marcelo Reis Pereira Silva"""
2025-07-16;;133.0;Receita;Transferência;Administrativo;Financeiro;202507160774;;"Pix recebido: ""Cp :90400888-JBS S A"""
2025-07-16;;-20.0;Despesa;Transferência;Administrativo;Financeiro;202507160775;;"Pix enviado: ""Cp :10573521-LALAMOVE TECNOLOGIA BRASIL LTDA"""
2025-07-15;;71.3;Receita;Transferência;Administrativo;Financeiro;202507150771;;"Pix recebido: ""Cp :18236120-AVILA TRANSPORTES INTERMUNICIPAL LTDA"""
2025-07-15;;-81.4;Despesa;Transferência;Administrativo;Financeiro;202507150772;;"Pix enviado: ""Cp :03065046-Fabio Brigatti Transportes LTDA"""
2025-07-15;;95.0;Receita;Pagamento;Administrativo;Financeiro;202507150773;;"Boleto de cobranca recebido: ""112/90357688798"""
2025-07-15;;-37.0;Despesa;Transferência;Administrativo;Financeiro;202507150774;;"Pix enviado: ""Cp :16501555-SANTA ANA FESTAS E EVENTOS"""
2025-07-15;;60.0;Receita;Pagamento;Administrativo;Financeiro;202507150775;;"Boleto de cobranca recebido: ""112/90364859200"""
2025-07-15;;120.0;Receita;Pagamento;Administrativo;Financeiro;202507150776;;"Boleto de cobranca recebido: ""112/90364831076"""
2025-07-15;;-43.65;Despesa;Transferência;Administrativo;Financeiro;202507150777;;"Pix enviado: ""Cp :16501555-FRANGO LANGO COMERCIO DE FRANGOS LTDA"""
2025-07-15;;557.34;Receita;Transferência;Administrativo;Financeiro;202507150778;;"Pix recebido: ""Cp :00971300-GUFLA PECAS AGRICOLAS LTDA"""
2025-07-15;;255.0;Receita;Transferência;Administrativo;Financeiro;202507150779;;"Pix recebido: ""Cp :54037916-BUFALO COMERCIO DE VIDROS LTDA"""
2025-07-15;;-30.58;Despesa;Transferência;Administrativo;Financeiro;2025071507710;;"Pix enviado: ""Cp :60701190-SUPERMERCADO SERV LAR"""
2025-07-15;;401.25;Receita;Pagamento;Administrativo;Financeiro;2025071507711;;"Boleto de cobranca recebido: ""112/90361036653"""
2025-07-15;;-1000.0;Despesa;Transferência;Administrativo;Financeiro;2025071507712;;"Pix enviado: ""Cp :90400888-Alvaro Ricardo Dias Calsaverini"""
2025-07-15;;-33.0;Despesa;Transferência;Administrativo;Financeiro;2025071507713;;"Pix enviado: ""Cp :08561701-Davi P dos Santos Correa Lanches"""
2025-07-15;;-49.38;Despesa;Transferência;Administrativo;Financeiro;2025071507714;;"Pix enviado: ""Cp :60701190-IFOOD COM AGENCIA DE RESTAURANTES ONLINE S A"""
2025-07-15;;-290.0;Despesa;Transferência;Administrativo;Financeiro;2025071507715;;"Pix enviado: ""Cp :00360305-Antonio Barbosa de Souza Junior"""
2025-07-15;;49.38;Receita;Transferência;Administrativo;Financeiro;2025071507716;;"Pix enviado devolvido: ""Cp :60701190-IFOOD COM AGENCIA DE RESTAURANTES ONLINE S A"""
